Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Oz Votes
2022 General Election,ADAMS,United States Senator,Statewide,Republican,"OZ, MEHMET C","29,039"
2022 General Election,ALLEGHENY,United States Senator,Statewide,Republican,"OZ, MEHMET C","200,632"
2022 General Election,ARMSTRONG,United States Senator,Statewide,Republican,"OZ, MEHMET C","19,575"
2022 General Election,BEAVER,United States Senator,Statewide,Republican,"OZ, MEHMET C","38,772"
2022 General Election,BEDFORD,United States Senator,Statewide,Republican,"OZ, MEHMET C","17,954"
2022 General Election,BERKS,United States Senator,Statewide,Republican,"OZ, MEHMET C","77,621"
2022 General Election,BLAIR,United States Senator,Statewide,Republican,"OZ, MEHMET C","34,214"
2022 General Election,BRADFORD,United States Senator,Statewide,Republican,"OZ, MEHMET C","16,033"
2022 General Election,BUCKS,United States Senator,Statewide,Republican,"OZ, MEHMET C","141,339"
2022 General Election,BUTLER,United States Senator,Statewide,Republican,"OZ, MEHMET C","57,168"
2022 General Election,CAMBRIA,United States Senator,Statewide,Republican,"OZ, MEHMET C","35,847"
2022 General Election,CAMERON,United States Senator,Statewide,Republican,"OZ, MEHMET C","1,247"
2022 General Election,CARBON,United States Senator,Statewide,Republican,"OZ, MEHMET C","15,659"
2022 General Election,CENTRE,United States Senator,Statewide,Republican,"OZ, MEHMET C","27,902"
2022 General Election,CHESTER,United States Senator,Statewide,Republican,"OZ, MEHMET C","104,020"
2022 General Election,CLARION,United States Senator,Statewide,Republican,"OZ, MEHMET C","10,620"
2022 General Election,CLEARFIELD,United States Senator,Statewide,Republican,"OZ, MEHMET C","21,948"
2022 General Election,CLINTON,United States Senator,Statewide,Republican,"OZ, MEHMET C","8,791"
2022 General Election,COLUMBIA,United States Senator,Statewide,Republican,"OZ, MEHMET C","14,830"
2022 General Election,CRAWFORD,United States Senator,Statewide,Republican,"OZ, MEHMET C","20,992"
2022 General Election,CUMBERLAND,United States Senator,Statewide,Republican,"OZ, MEHMET C","59,663"
2022 General Election,DAUPHIN,United States Senator,Statewide,Republican,"OZ, MEHMET C","50,141"
2022 General Election,DELAWARE,United States Senator,Statewide,Republican,"OZ, MEHMET C","87,322"
2022 General Election,ELK,United States Senator,Statewide,Republican,"OZ, MEHMET C","9,128"
2022 General Election,ERIE,United States Senator,Statewide,Republican,"OZ, MEHMET C","46,507"
2022 General Election,FAYETTE,United States Senator,Statewide,Republican,"OZ, MEHMET C","28,234"
2022 General Election,FOREST,United States Senator,Statewide,Republican,"OZ, MEHMET C","1,434"
2022 General Election,FRANKLIN,United States Senator,Statewide,Republican,"OZ, MEHMET C","44,819"
2022 General Election,FULTON,United States Senator,Statewide,Republican,"OZ, MEHMET C","5,171"
2022 General Election,GREENE,United States Senator,Statewide,Republican,"OZ, MEHMET C","8,348"
2022 General Election,HUNTINGDON,United States Senator,Statewide,Republican,"OZ, MEHMET C","13,035"
2022 General Election,INDIANA,United States Senator,Statewide,Republican,"OZ, MEHMET C","20,769"
2022 General Election,JEFFERSON,United States Senator,Statewide,Republican,"OZ, MEHMET C","13,139"
2022 General Election,JUNIATA,United States Senator,Statewide,Republican,"OZ, MEHMET C","7,265"
2022 General Election,LACKAWANNA,United States Senator,Statewide,Republican,"OZ, MEHMET C","36,534"
2022 General Election,LANCASTER,United States Senator,Statewide,Republican,"OZ, MEHMET C","124,798"
2022 General Election,LAWRENCE,United States Senator,Statewide,Republican,"OZ, MEHMET C","21,531"
2022 General Election,LEBANON,United States Senator,Statewide,Republican,"OZ, MEHMET C","35,023"
2022 General Election,LEHIGH,United States Senator,Statewide,Republican,"OZ, MEHMET C","59,219"
2022 General Election,LUZERNE,United States Senator,Statewide,Republican,"OZ, MEHMET C","61,978"
2022 General Election,LYCOMING,United States Senator,Statewide,Republican,"OZ, MEHMET C","31,171"
2022 General Election,McKEAN,United States Senator,Statewide,Republican,"OZ, MEHMET C","10,076"
2022 General Election,MERCER,United States Senator,Statewide,Republican,"OZ, MEHMET C","27,049"
2022 General Election,MIFFLIN,United States Senator,Statewide,Republican,"OZ, MEHMET C","12,263"
2022 General Election,MONROE,United States Senator,Statewide,Republican,"OZ, MEHMET C","26,746"
2022 General Election,MONTGOMERY,United States Senator,Statewide,Republican,"OZ, MEHMET C","143,077"
2022 General Election,MONTOUR,United States Senator,Statewide,Republican,"OZ, MEHMET C","4,328"
2022 General Election,NORTHAMPTON,United States Senator,Statewide,Republican,"OZ, MEHMET C","59,860"
2022 General Election,NORTHUMBERLAND,United States Senator,Statewide,Republican,"OZ, MEHMET C","20,992"
2022 General Election,PERRY,United States Senator,Statewide,Republican,"OZ, MEHMET C","13,956"
2022 General Election,PHILADELPHIA,United States Senator,Statewide,Republican,"OZ, MEHMET C","78,408"
2022 General Election,PIKE,United States Senator,Statewide,Republican,"OZ, MEHMET C","14,792"
2022 General Election,POTTER,United States Senator,Statewide,Republican,"OZ, MEHMET C","5,486"
2022 General Election,SCHUYLKILL,United States Senator,Statewide,Republican,"OZ, MEHMET C","35,293"
2022 General Election,SNYDER,United States Senator,Statewide,Republican,"OZ, MEHMET C","10,657"
2022 General Election,SOMERSET,United States Senator,Statewide,Republican,"OZ, MEHMET C","23,964"
2022 General Election,SULLIVAN,United States Senator,Statewide,Republican,"OZ, MEHMET C","2,023"
2022 General Election,SUSQUEHANNA,United States Senator,Statewide,Republican,"OZ, MEHMET C","11,520"
2022 General Election,TIOGA,United States Senator,Statewide,Republican,"OZ, MEHMET C","11,988"
2022 General Election,UNION,United States Senator,Statewide,Republican,"OZ, MEHMET C","9,401"
2022 General Election,VENANGO,United States Senator,Statewide,Republican,"OZ, MEHMET C","13,406"
2022 General Election,WARREN,United States Senator,Statewide,Republican,"OZ, MEHMET C","10,175"
2022 General Election,WASHINGTON,United States Senator,Statewide,Republican,"OZ, MEHMET C","52,337"
2022 General Election,WAYNE,United States Senator,Statewide,Republican,"OZ, MEHMET C","14,425"
2022 General Election,WESTMORELAND,United States Senator,Statewide,Republican,"OZ, MEHMET C","98,238"
2022 General Election,WYOMING,United States Senator,Statewide,Republican,"OZ, MEHMET C","7,338"
2022 General Election,YORK,United States Senator,Statewide,Republican,"OZ, MEHMET C","109,631"